nohup: 忽略输入
timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/04/30 22:21:00.153, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:01.153, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:21:01.154, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:02.154, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:21:02.154, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:03.154, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:03.154, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:04.154, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:04.154, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:05.154, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:05.154, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:06.155, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:06.155, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:07.155, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:21:07.155, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:08.155, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:08.155, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:09.155, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 76 %
2026/04/30 22:21:09.155, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
